0,顶级菜单,Root,000,"",fa fa-television,0,"",true,Administrator,2012-10-01 00:00:00.000,false,0x000000000000384D
201705091705285680000777da99ec5,出入库,In Out,2017021417060009210231215e2ea5e,,fa fa-puzzle-piece,0,,true,admin,2017-05-09 17:05:28.567,false,0x0000000000003878
201705091706216410000bb43fa7bab,基础表,Base Info,2017021417060009210231215e2ea5e,,fa  fa-cogs,0,,true,admin,2017-05-09 17:06:21.640,false,0x0000000000003879
201705271431096410000cc57c0a86b,日程管理,Calendar Plan,PersonDocument,SysCalendarPlan,fa  fa-calendar,1,,true,admin,2017-05-27 14:31:09.640,true,0x000000000000387A
2017121012333846800006d3371f51c,顶部菜单,顶部菜单,0,#,fa  fa-diamond,0,,true,admin,2017-12-10 12:33:38.467,false,0x000000000000387B
2017121012353839400000bd8d43409,测试1,,2017121012333846800006d3371f51c,#,fa fa-puzzle-piece,0,,true,admin,2017-12-10 12:35:38.393,true,0x000000000000387C
201803211502338372006dea52b5a15,混合表单,混合表单,201611241127104938174ca14069a09,Demo/BaseDemo,fa fa-puzzle-piece,0,,true,admin,2018-03-21 15:02:33.000,true,0x000000000000387D
2018100721033801536510be8bdc96e,代码生成器,,201605312304598866131890ede44b6,,fa  fa-bug,-10,,true,admin,2018-10-07 21:03:38.000,false,0x000000000000387E
20181007210452879448514b7f1dd19,单页面生成DataGrid,单页面生成DataGrid,2018100721033801536510be8bdc96e,Demo/PageSingle,fa  fa-fire,0,,true,admin,2018-10-07 21:04:52.880,true,0x000000000000387F
2018100721055858937928c01170b61,单页面生成TreeGrid,单页面生成TreeGrid,2018100721033801536510be8bdc96e,Demo/PageTreeSingle,fa  fa-leaf,1,,true,admin,2018-10-07 21:05:58.590,true,0x0000000000003880
201810072106365044424700c60a005,多表生成,多表生成,2018100721033801536510be8bdc96e,Demo/PageDataGridToDataGrid,fa  fa-leaf,3,,true,admin,2018-10-07 21:06:36.503,true,0x0000000000003881
201902141818396772432d0ebf4f6d0,多种报表,多种报表,201611241127104938174ca14069a09,Demo/Echarts,fa  fa-industry,0,,true,admin,2019-02-14 18:18:39.677,true,0x0000000000003882
